accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_000238815.2	0	99.56	0	347	c__Alphaproteobacteria (UID3305)	229	0	2254256	91.6757389856219	10	1241171	50.47575281269	2458945	GB_GCA_000238815.2	t	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__HIMB100;s__HIMB100 sp000238815	not type material	none	f	2	2	1167490	1167490	1167490	1	2715	AFXB01000010.1	1167490	1	109	AFXB01000010.1	2715	5014	0	100	AFXB01000010.555440.558165	Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;SAR116 cluster alpha proteobacterium HIMB100	245894	245894	t	f	f	307337	307337	Contig	ASM23881v2	na	PRJNA56093	SAMN02471789	10	307337	none	2011-11-10	GCA_000238815.2	none	full	none	none	none	0	0	SAR116 cluster alpha proteobacterium HIMB100	none	na	3	none	none	none	none	none	2011/11/10	0	909943	1	HIMB100	Summer Course on Microbial Oceanography	909943	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;x__Alphaproteobacteria incertae sedis;x__SAR116 cluster;x__unclassified SAR116 cluster;s__SAR116 cluster alpha proteobacterium HIMB100	0	2458945	11	39	none	2458945	0	AFXB00000000.1	2340	10	1167490	1	none	none	none	none	none	none	1483	AFXB01000010.1	1474	2723	0	100	AFXB01000010.558617.560090	Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;SAR116 cluster alpha proteobacterium HIMB100	0	19	39	0
GB_GCA_000243795.3	1	97.65	0	140	k__Bacteria (UID2495)	85	0	3132300	81.7020357560849	49	1539696	40.1610096280252	3833809	RS_GCF_003046425.1	f	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira borgpetersenii	not type material	none	f	7	7	360631	360631	273919	1	2952	AHMS02000040.1	360631	1	110	AHMS02000022.1	2952	5452	0	100	AHMR02000066.18219.21175	Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;Leptospira;Leptospira borgpetersenii str. Brem 307	78241	78241	t	f	f	203474	203474	Contig	gls454056v2.0	na	PRJNA74067	SAMN02436509	49	203474	none	2013-03-15	GCA_000243795.3	none	full	none	none	none	0	0	Leptospira borgpetersenii str. Brem 328	none	na	3	none	none	none	none	none	2013/03/15	0	174	1	Brem 328	J. Craig Venter Institute	1049780	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira borgpetersenii	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira borgpetersenii;x__Leptospira borgpetersenii str. Brem 328	0	3833809	11	38	none	3833809	0	AHMS00000000.2	3608	49	157190	1	none	none	none	none	none	none	1505	AHMS02000045.1	1505	2774	0	99.934	CP026671.2179057.2180570	Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;Leptospira;Leptospira borgpetersenii serovar Ceylonica	0	20	37	0
GB_GCA_000249195.2	1	99.67	0.04	1173	f__Enterobacteriaceae (UID5124)	336	0	4585875	86.5577574550042	94	2668938	50.3758457591292	5298052	RS_GCF_003697165.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	12	12	333229	333229	274344	11	2900	AIFB01000056.1	274344	9	355	AIFB01000056.1	2898	5352	0	100	AIFB01000056.269508.272407	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli DEC2C	56362	56362	t	f	f	149507	149507	Contig	ASM24919v2	na	PRJNA50917	SAMN00116897	94	149507	none	2012-02-23	GCA_000249195.2	none	full	none	none	none	0	0	Escherichia coli DEC2C	none	na	31	none	none	none	none	none	2012/02/23	0	562	12	DEC2C	Institute for Genome Sciences	868140	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;x__Escherichia coli DEC2C	0	5298052	11	102	none	5298052	0	AIFB00000000.1	5259	94	42525	14	none	none	none	none	none	none	1538	AIFB01000071.1-#2	1538	2841	0	100	LT903847.426530.428071	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli O127:H6	0	20	101	1
GB_GCA_000251625.2	0	99.18	0.21	761	g__Streptococcus (UID584)	238	0	1769670	84.3820271865696	14	838404	39.9770743253424	2097212	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	4	4	453855	453855	100128	8	2897	AILP01000011.1	206151	8	108	AILP01000001.1	2896	5349	0	100	CFQV02000083.2183.5082	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	149800	149800	t	f	f	206151	206151	Contig	ASM25162v2	na	PRJNA48765	SAMN00738152	14	206151	none	2012-03-07	GCA_000251625.2	none	full	none	none	none	0	0	Streptococcus pneumoniae GA40028	none	na	24	none	none	none	none	none	2012/03/07	0	1313	8	GA40028	Institute for Genome Sciences	760803	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae GA40028	0	2097212	11	66	none	2097212	0	AILP00000000.1	2068	14	100128	8	none	none	none	none	none	none	1545	AILP01000011.1-#2	1545	2828	0	99.741	CP026670.16761.18312	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	20	66	0
GB_GCA_000252285.2	2	99.68	0.25	704	g__Streptococcus (UID576)	251	0	1785349	85.1389353180259	24	830736	39.6158095853038	2096983	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	2	2	804113	804113	34194	4	2897	AIJW01000001.1	34194	4	108	AIJW01000001.1	2897	5350	0	100	AIJW01000001.2205.5104	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae EU-NP05	87374	87374	t	f	f	355782	355782	Contig	ASM25228v2	na	PRJNA48955	SAMN00717398	24	355782	none	2012-03-07	GCA_000252285.2	none	full	none	none	none	0	0	Streptococcus pneumoniae EU-NP05	none	na	12	none	none	none	none	none	2012/03/07	0	1313	4	EU-NP05	Institute for Genome Sciences	760881	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae EU-NP05	0	2096983	11	38	none	2096983	0	AIJW00000000.1	2129	24	62543	4	none	none	none	none	none	none	1544	AIJW01000021.1	1545	2822	0	99.676	CP025076.1101992.1103543	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	18	38	0
GB_GCA_000255855.1	1	99.87	0.29	1383	g__Yersinia (UID5070)	341	0	3852069	83.8740631291259	277	2181476	47.4989662900602	4592682	RS_GCF_900460465.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia pestis	not type material	none	f	46	46	98847	98847	3299	1	2903	AGJY01000056.1	3299	2	110	AGJY01000056.1	2903	5361	0	100	CP010293.192349.195253	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia pestis	16580	16580	t	f	f	31318	31318	Contig	ASM25585v1	na	PRJNA73109	SAMN01831187	277	31318	none	2012-03-22	GCA_000255855.1	none	full	none	none	none	0	none	Yersinia pestis biovar Orientalis str. AS200902147	none	na	none	none	none	none	none	none	2012/03/22	0	632	none	AS200902147	US Army Edgewood Chemical Biological Center	1084232	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pestis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;x__Yersinia pseudotuberculosis complex;s__Yersinia pestis;sb__Yersinia pestis subsp. pestis;x__Yersinia pestis subsp. pestis bv. Orientalis;x__Yersinia pestis biovar Orientalis str. AS200902147	0	4592682	none	none	none	4592682	0	AGJY00000000.1	4274	277	1793	2	none	none	none	none	none	none	1538	AGJY01000229.1	1538	2841	0	100	CP031780.3610046.3611591	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia pseudotuberculosis	0	20	57	1
GB_GCA_000257275.1	0	99.9	0.06	1173	f__Enterobacteriaceae (UID5124)	336	0	4321124	87.5555539345782	1	2511483	50.8882145622936	4935294	RS_GCF_003697165.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	1	1	4935294	4935294	4935294	7	2904	CP002291.1-#6	4935294	7	355	CP002291.1-#7	2904	5363	0	100	CP002291.3690253.3693160	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli P12b	4935294	4935294	t	f	f	4935294	4935294	Complete Genome	ASM25727v1	na	PRJNA59455	SAMN02603904	none	none	none	2012-04-02	GCA_000257275.1	none	full	none	none	none	1	0	Escherichia coli P12b	none	na	22	none	none	none	none	none	2012/04/02	0	562	7	P12b	TEDA School of Biological Sciences and Biotechnology, Nankai University	910348	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;x__Escherichia coli P12b	0	4935294	11	83	none	4935294	0	none	4822	1	4935294	7	none	none	none	none	none	none	1538	CP002291.1	1538	2841	0	100	CP030281.1174645.1176198	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli	0	20	84	1
GB_GCA_000268125.1	5	99.62	0.1	1207	f__Enterobacteriaceae (UID5162)	328	0	4538570	86.8282346486089	110	2649095	50.6803822108863	5227067	RS_GCF_003697165.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	16	16	230617	230617	115174	7	2901	AKNH01000002.1	46808	7	355	AKNH01000054.1	2901	5358	0	100	AKNH01000002.74964.77866	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli EPECa12	47518	47518	t	f	f	115174	115174	Contig	ASM26812v1	na	PRJNA40273	SAMN00030565	110	115174	none	2012-06-14	GCA_000268125.1	none	full	none	none	none	0	0	Escherichia coli EPECa12	none	na	22	none	none	none	none	none	2012/06/14	0	562	7	EPECa12	Institute for Genome Sciences	670896	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;x__Escherichia coli EPECa12	0	5227067	11	91	none	5227067	0	AKNH00000000.1	5118	110	118142	7	none	none	none	none	none	none	1539	AKNH01000063.1	1539	2824	0	99.805	CP033250.3843552.3845105	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli	0	20	89	1
GB_GCA_000271405.2	34	99.63	0	475	o__Lactobacillales (UID544)	267	0	2367220	82.8730867793477	2	1054027	36.9004616290541	2856440	GB_GCA_000271405.2	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae	type strain of species	LPSN	f	1	1	2827741	2827741	2827741	6	2909	CP003504.1	2827741	6	110	CP003504.1	2909	5373	0	100	CP003504.584495.587408	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus hirae ATCC 9790	1428220	1428220	t	f	f	2827741	2827741	Complete Genome	ASM27140v2	na	PRJNA49385	SAMN02604142	none	none	none	2012-06-20	GCA_000271405.2	none	full	none	none	none	2	0	Enterococcus hirae ATCC 9790	none	na	18	none	none	none	none	none	2012/06/20	0	1354	6	ATCC 9790	University of Bern	768486	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus hirae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus hirae;x__Enterococcus hirae ATCC 9790	0	2856440	11	71	assembly from type material	2856440	0	none	2712	2	2827741	6	none	none	none	none	none	none	1563	CP003504.1-#6	1562	2885	0	100	CP003504.944587.946155	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus hirae ATCC 9790	0	20	70	1
GB_GCA_000277915.1	0	99.64	0	481	c__Gammaproteobacteria (UID4202)	276	0	4013102	84.4571268386268	314	3014482	63.4894177704456	4751644	RS_GCF_000772705.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas vasicola	not type material	none	f	52	11	113489	396922	6079	1	2876	AKBG01000001.1	6079	1	106	AKBG01000001.1	2876	5312	0	100	AKBH01000888.11813.14707	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas campestris pv. musacearum NCPPB 4384	15121	54616	t	f	f	29848	149435	Scaffold	Xcm4380v1	na	PRJNA73879	SAMN00991243	314	29848	none	2013-02-04	GCA_000277915.1	none	full	none	none	none	0	98	Xanthomonas campestris pv. musacearum NCPPB 4380	none	na	3	87	11	149435	67940	42284	2013/02/04	227	56459	1	NCPPB 4380	University of Exeter	1094185	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas vasicola	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas vasicola;x__Xanthomonas vasicola pv. musacearum;x__Xanthomonas campestris pv. musacearum NCPPB 4380	3637	4751644	11	50	none	4748007	0	AKBG00000000.1	4184	87	6079	1	none	none	none	none	none	none	1542	AKBG01000001.1	1542	2848	0	100	AKBJ01000014.3632.5178	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas campestris pv. musacearum NCPPB 4394	3637	20	50	0
GB_GCA_000279105.1	2	98.52	0.24	704	g__Streptococcus (UID576)	251	0	1832488	85.9148834620854	26	842582	39.5038888203857	2132911	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	4	4	312561	312561	307483	1	2897	ALBO01000001.1	307483	2	108	ALBO01000001.1	2897	5350	0	100	ALBO01000001.95479.98378	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae 2082170	82035	82035	t	f	f	204852	204852	Contig	ASM27910v1	na	PRJNA59935	SAMN02471534	26	204852	none	2012-07-16	GCA_000279105.1	none	full	none	none	none	0	0	Streptococcus pneumoniae 2082170	none	na	4	none	none	none	none	none	2012/07/16	0	1313	1	2082170	Academic Medical Center Amsterdam, The Netherlands	914146	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae 2082170	0	2132911	11	47	none	2132911	0	ALBO00000000.1	2195	26	307483	1	none	none	none	none	none	none	1542	ALBO01000001.1	1542	2848	0	100	CP025256.1981887.1983438	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	20	47	0
GB_GCA_000283715.1	0	99.44	0.11	1240	f__Enterobacteriaceae (UID5167)	324	0	4474277	85.706352661914	5	2647720	50.7180096516159	5220473	RS_GCF_003697165.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	1	1	4988504	4988504	4988504	7	2900	HE616528.1	4988504	7	355	HE616528.1-#7	2900	5356	0	100	CP022672.327815.330745	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Shigella sonnei	1044094	1044094	t	f	f	4988504	4988504	Complete Genome	ASM28371v1	na	PRJEA78129	SAMEA2272161	none	none	none	2012-01-31	GCA_000283715.1	none	full	none	none	none	5	none	Shigella sonnei 53G	0	na	none	none	none	none	none	none	2012/01/31	0	624	none	53G	Wellcome Trust Sanger Insititute	216599	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei;x__Shigella sonnei 53G	0	5220473	none	none	none	5220473	0	none	5270	5	4988504	7	none	none	none	none	none	none	1538	HE616528.1-#3	1538	2841	0	100	CP030281.1174645.1176198	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli	0	20	96	1
GB_GCA_000285815.1	0	99.03	0.55	596	f__Burkholderiaceae (UID4003)	218	0	3210000	87.3332031043825	347	2435989	66.2749913074896	3675578	RS_GCF_002251695.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum	type strain of species	LPSN	f	44	44	96174	96174	88650	1	2874	CAGT01000287.1	88650	1	107	CAGT01000287.1	2874	5308	0	100	CAGT01000287.2335.5211	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia solanacearum K60-1	10592	10592	t	f	f	24730	24730	Contig	ASM28581v1	na	PRJEA73571	SAMEA2272760	347	24730	none	2012-03-01	GCA_000285815.1	none	full	none	none	none	0	0	Ralstonia solanacearum K60	3481	na	3	none	none	none	none	none	2012/03/01	0	305	0	K60	MicroScope	1091042	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum;x__Ralstonia solanacearum K60	0	3675578	11	49	none	3675578	0	CAGT00000000.1	3580	347	88650	1	none	none	none	none	none	none	1532	CAGT01000287.1	1532	2819	0	99.869	CP021765.1205214.1206758	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia pseudosolanacearum	0	20	49	0
GB_GCA_000285855.2	7	99.37	2.24	278	o__Clostridiales (UID1226)	158	0	3538921	68.3557025071786	526	1633519	39.1827675545032	5177214	GB_GCA_000285855.2	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000285855	not type material	none	f	18	1	215746	3529697	5075	1	2826	HE978695.1	none	0	none	none	2826	5219	0	100	CAHL01000240.52.2884	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Ruminococcus sp. JC304	7925	97683	f	f	t	72769	3529697	Scaffold	ASM28585v2	na	PRJEA82615	SAMEA2272026	526	72769	none	2012-08-16	GCA_000285855.2	none	full	JC304	none	none	0	none	Ruminococcus sp. JC304	0	na	none	53	1	3529697	112023	43273	2012/08/16	473	1095771	none	JC304	URMITE CNRS UMR 6236 IRD 198	1095771	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;x__unclassified Ruminococcus;s__Ruminococcus sp. JC304	1008234	5177214	none	none	none	4168980	0	CAHL00000000.1	4285	53	5075	1	none	none	none	none	none	none	1419	HE978695.1	1419	2569	0	99.366	AB559636.1.1522	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured bacterium	1008234	18	54	0
GB_GCA_000302695.1	0	100	1.06	876	f__Enterobacteriaceae (UID5054)	305	0	4027886	87.2424266643621	34	2531496	54.8312077678281	4616889	GB_GCA_000302695.1	t	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Jejubacter;s__Jejubacter sp000302695	not type material	none	f	3	3	1158676	1158676	3441	1	2903	AMFN01000028.1	6133	2	110	AMFN01000025.1	2790	5153	0	100	AMFN01000028.166.2955	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacteriaceae bacterium LSJC7	135790	135790	f	f	t	610898	610898	Contig	LSJC7_1.0	na	PRJNA172943	SAMN02470049	34	610898	none	2012-10-04	GCA_000302695.1	none	full	none	none	none	0	none	Enterobacteriaceae bacterium LSJC7	none	na	none	none	none	none	none	none	2012/10/04	0	1224136	none	LSJC7	Institute of Urban Environment, Chinese Academy of Sciences	1224136	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;x__unclassified Enterobacteriaceae;s__Enterobacteriaceae bacterium LSJC7	0	4616889	none	none	none	4616889	0	AMFN00000000.1	4227	34	283026	4	none	none	none	none	none	none	1064	AMFN01000005.1	1058	1882	0	98.771	JX485634.1.1503	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacillus;Enterobacteriaceae bacterium LSJC7	0	20	69	1
GB_GCA_000306355.2	13	92.35	0.11	140	k__Bacteria (UID2495)	85	0	3434455	76.1826037423461	200	1630209	36.1611738674741	4508188	RS_GCF_000243695.2	f	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira kirschneri	not type material	none	f	26	26	148021	148021	91123	3	2953	AKWK02000169.1	52826	1	110	AKWK02000004.1	2953	5454	0	100	AKWK02000169.49190.52147	Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;Leptospira;Leptospira kirschneri str. 200801925	22540	22540	t	f	f	63109	63109	Contig	gls454127v02	na	PRJNA167249	SAMN01036858	200	63109	none	2013-03-16	GCA_000306355.2	none	full	none	none	none	0	0	Leptospira kirschneri str. 200801925	none	na	4	none	none	none	none	none	2013/03/16	0	29507	2	200801925	J. Craig Venter Institute	1193046	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira kirschneri	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira kirschneri;x__Leptospira kirschneri str. 200801925	0	4508188	11	37	none	4508188	0	AKWK00000000.2	4535	200	80573	2	none	none	none	none	none	none	1505	AKWK02000140.1	1505	2774	0	99.934	CP006723.3101314.3102825	Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;Leptospira;Leptospira interrogans serovar Linhai str. 56609	0	20	37	0
